,subject
1437,Huw Edwards
1438,Do the Right Thing
1439,Ricardo Gónzalez Reinoso
1440,Mother
1441,8½
1442,Theodelap of Spoleto
1443,The Adventures of Tom Sawyer
1444,Source Code
1445,Marilyn Monroe
1446,Harry Clay
1447,Hospital
1448,Jon Eikemo
1449,Happy Feet
1450,Arthur Thomson
1451,September
1452,Jeannot Gilbert
1453,Inland Empire
1454,Frederick Dundas
1455,Olav T. Laake
1456,Legend
1457,The Artist
1458,Maling Kutang
1459,canton of Harnes
1460,S Club 7
1461,tight end
1462,The Butterfly
1463,Haiti
1464,Saw II
1465,Det var paa Rundetaarn
1466,Alessandra Mussolini
1467,Corbin Bleu
1468,El honorable Señor Valdez
1469,Mayabazar
1470,Me First
1471,Annie Oakley
1472,The Director
1473,Sukarno
1474,Sean Penn
1475,Creepmime
1476,Björn Böhning
1477,Can
1478,Georg Adolf Erman
1479,Big Night
1480,Eleanor Yule
1481,Falling Down
1482,By the Sea
1483,Iman
1484,Ricardo Watty Urquidi
1485,El Dorado
1486,The Wild
1487,Le Moustoir
1488,Juventus FC
1489,Andrei Vițelaru
1490,WTA South Orange
1491,King Arthur
1492,Beautiful
1493,1998–99 Slovenian Basketball League
1494,The Sun Chemist
1495,Kingdom of Hanover
1496,Doubt
1497,Karl-Hans Riehm
1498,Mark Twain
1499,Best
1500,Kaaki Sattai
1501,Radik Zhaparov
1502,2012 Uzbekistan First League
1503,Joe Abercrombie
1504,Gmina Brzeszcze
1505,Götterdämmerung
1506,Horus
1507,Wang Yaping
1508,Ondo State
1509,New Caledonia
1510,The Fly
1511,The Resolve
1512,Gotti
1513,In the Loop
1514,German East Africa
1515,Angola
1516,Lukáš Bodeček
1517,"Charles A. Gillespie, Jr."
1518,Wireless
1519,Winter: Five Windows on the Season
1520,Zookeeper
1521,Sweat
1522,Kenneth Kennedy
1523,Brand New
1524,Competitors
1525,Den store gavtyv
1526,Arafan Camara
1527,Ricardo Maliandi
1528,In Silence
1529,Iraq
1530,The Awakening
1531,Wish You Were Here
1532,WALL-E
1533,City of Brussels
1534,Shaft
1535,Cayman Islands
1536,Joachim Zachris Duncker
1537,Silence
1538,The Blackcoat's Daughter
1539,Need for Speed
1540,Sánchez Carrión Province
1541,John Gwynn
1542,Gorillaz
1543,Take It Easy
1544,Fox News
1545,Yeonsangun of Joseon
1546,Full House
1547,Wildlife
1548,The Gift
1549,Sabah
1550,Let It Go
1551,Mission: Impossible 2
1552,Marino Rahmberg
1553,VS
1554,Skin
1555,Closer
1556,Images
1557,The Hunger
1558,Berlin
1559,Wayne Gretzky
1560,Hell's Angels
1561,Secret of Mana
1562,La cruz
1563,Elizabeth II
1564,José Diogo Macedo Silva
1565,Eliza Lawrence
1566,Carl Linnaeus
1567,Ghost Dog: The Way of the Samurai
1568,The Odd Life of Timothy Green
1569,Margaret Douglas
1570,Sébastien Chevallier
1571,Happy Gilmore
1572,Mami
1573,Father Damien
1574,Rhineland-Palatinate
1575,DIC Entertainment Corporation
1576,The Immigrant
1577,Aleksandar Madžar
1578,"Princess Elisabeth, Duchess of Brabant"
1579,Out to Win
1580,The Love Nest
1581,I.P. Paul
1582,Terry Fox
1583,Burna Boy
1584,Margaret Court
1585,Libya
1586,Marie-Hélène Aubert
1587,Richard III of Capua
1588,Malvaloca
1589,George
1590,Losing It
1591,2012 Georgetown Hoyas men's soccer team
1592,Agustín Elduayen
1593,The Tenant
1594,Nebraska
1595,Unreal Tournament
1596,Señor Saint
1597,Homecoming
1598,Franz Seitz Sr.
1599,The Holiday
1600,Njurunda SK
1601,Josef Martínez
1602,Afternoon
1603,Northern Territory
1604,III
1605,Paweł Blehm
1606,The Thick of It
1607,Masaru Inada
1608,Help Wanted
1609,The Thing from Another World
1610,Romania
1611,John M. Wood
1612,Leif Claesson
1613,Nice People
1614,Serial
1615,Grand Prix
1616,Henry Feilden
1617,Masks
1618,Gregorio Selser
1619,Cris Carter
1620,Marvel Cinematic Universe
1621,European Economic Community
1622,South Dakota
1623,The Matrix
1624,Ewen Fernandez
1625,Therapy
1626,Italy
1627,Carrie
1628,Nineteen Eighty-Four
1629,Natasha Leggero
1630,Astraea
1631,The Apartment
1632,Vishwanath Rao Ringe
1633,Mississippi
1634,Frank Cornan
1635,Pierre-Antoine Paulo
1636,Nero
1637,Vertigo
1638,Dan Parkinson
1639,Final Fantasy III
1640,Bruce McDaniel
1641,Welcome to the Dollhouse
1642,Buckinghamshire
1643,Compliance
1644,Pablo Aguilar
1645,In the Cut
1646,Edwin E. Ellis
1647,The Practice
1648,The Burning
1649,The Missing
1650,The Angel
1651,The Fountain
1652,Guide
1653,Nicolaas Cortlever
1654,Rave Master
1655,Snow White and the Seven Dwarfs
1656,Quorey Payne
1657,More Love
1658,Bernard William Schmitt
1659,Joseph Schubert
1660,William III of England
1661,Papua New Guinea
1662,Idaho
1663,Steve Kerr
1664,James Keddy
1665,The Jacket
1666,Maximilian I of Mexico
1667,Yemen
1668,Battle
1669,With Women
1670,Barbados
1671,I Heart Huckabees
1672,Henry Soames
1673,Senegal
1674,Willi Kirsei
1675,Ukrainian Soviet Socialist Republic
1676,Aruba
1677,Belly
1678,The Brides of Dracula
1679,Soylent Green
1680,2010: The Year We Make Contact
1681,Rumi
1682,The Night Riders
1683,All Good Things
1684,Rio Grande do Sul
1685,Montserrat
1686,Hera Pheri
1687,FK Mladost Bački Jarak
1688,Bill Wilkinson
1689,The Judge
1690,Anything Goes
1691,Matteo Pivotto
1692,Empire
1693,Tuvalu
1694,Genre
1695,Billboard
1696,Alone
1697,Mehmet Gürkan Öztürk
1698,Gmina Lubsza
1699,Betrayal
1700,Javier Suárez
1701,New Europe
1702,A Rowboat Romance
1703,Mario Aguilar
1704,Singapore
1705,The Road
1706,Aarno Maliniemi
1707,United Arab Emirates
1708,Clemente Isnard
1709,Anderson
1710,1923 in Brazilian football
1711,Christos Mitsis
1712,Len
1713,el sour li ta9leb
1714,Umbrella
1715,Rage
1716,Bence Balogh
1717,Palo Alto
1718,Civic Democratic Party
1719,Peru
1720,Fast & Furious 6
1721,House on Haunted Hill
1722,The Blair Witch Project
1723,Annie
1724,Jorge Betancourt
1725,Hey Ram
1726,Node
1727,Ready
1728,The Fake
1729,Empire
1730,The Prophet
1731,County Dublin
1732,Michigan
1733,Vanuatu
1734,Early Man
1735,Pete Larson
1736,Timeline
1737,Cassiá
1738,Mexico
1739,Université Nationale du Bénin FC
1740,Léon-Lévy Brunswick
1741,Joe
1742,"John Blake, Jr."
1743,Don Bosco
1744,Georgia
1745,Salem
1746,Volcano
1747,Horror Story
1748,Marc Santo-Roman
1749,On the Road
1750,Gmina Radomsko
1751,The Bodyguard
1752,Panama
1753,Giovanni Stefano Marucelli
1754,Tasmania
1755,The Police
1756,Little Children
1757,Always
1758,canton of Mirambeau
1759,The Fall
1760,The Right Stuff
1761,Tanu Weds Manu
1762,Leverage
1763,The Castle
1764,Claus Schenk Graf von Stauffenberg
1765,Susanne Klatten
1766,The Mirror
1767,Spent
1768,The Museum of Abandoned Secrets
1769,Trail
1770,Find Me
1771,Poni Province
1772,Qayamat Se Qayamat Tak
1773,The Secret Call
1774,Diego Díaz Garrido
1775,Temper
1776,Granada Lions
1777,Anyone Else
1778,Desire
1779,Forgive
1780,Rang-ha
1781,Sold
1782,Guyana women's national field hockey team
1783,The Dark
1784,Edward VI of England
1785,Andrew Tucker
1786,1920–21 Northern Football League
1787,Jim Baker
1788,Le Mentor
1789,Le Guérisseur
1790,Kathy Saltzman
1791,The Wizard in Wonderland
1792,The Accused
1793,Farman Behboud
1794,Flightplan
1795,Atlético Madrid
1796,Ron Douglas
1797,Sigrid D. Peyerimhoff
1798,Aud Brindley
1799,Estonia
1800,Kenya
1801,Ganesha
1802,Anil Kapoor
1803,Leobardo Soto
1804,Vacation
1805,David Vázquez González
1806,Partner
1807,James M. Geraghty
1808,Wicked
1809,The Harvest Shall Come
1810,Indian
1811,Stig Kleven
1812,Maarten Biesheuvel
1813,Annie Beustes
1814,Brotherhood of the Wolf
1815,Momo Blamo
1816,The Mirror
1817,Crazy
1818,Jürgen W. Falter
1819,Coventry City F.C.
1820,"St. James the Elder, Apostle"
1821,Back to the Future
1822,The Unpainted Woman
1823,Mother
1824,Music
1825,Francisco Pizarro
1826,Joan of Arc
1827,Resident Evil 2
1828,Benin
1829,Fernando García
1830,Singles
1831,Scott Patterson
1832,Road Trip
1833,Beta
1834,Gaston-François de Witte
1835,Living Lutheran
1836,Desires
1837,Turkmenistan
1838,Cube
1839,Michal Vacek
1840,Gada Meilin
1841,Elizabeth
1842,Miracle
1843,The Secret
1844,Alexandros Matsas
1845,Jeans
1846,Cosmo Francesco Ruppi
1847,Numb
1848,Let It Be You
1849,The Net
1850,Queen
1851,José Luis Contaja
1852,Beast
1853,Somerset
1854,The Kiss
1855,Hop
1856,Love Story
1857,Roland Repiský
1858,Muhammad Ali
1859,The One
1860,Bird
1861,Super Mario World
1862,New York City
1863,Extract
1864,Dangerous
1865,Monster
1866,Daigo Watanabe
1867,White House
1868,Nigeria
1869,Our Time
1870,Sebastian Hofmann
1871,Per amare Ofelia
1872,1899 Wisconsin Badgers football team
1873,The Omen
1874,League of Legends
1875,Annika Billstam
1876,Gospel of Matthew
1877,Sebaki Devi Das Tatma
1878,No Doubt
1879,James Anderson
1880,Friday
1881,Voyage to the Bottom of the Sea
1882,Serbia
1883,Vermont
1884,Lincoln
1885,Almoravid dynasty
1886,Robert Jonckheere
1887,Corridor
1888,Ran
1889,Liam Carroll
1890,The Doors
1891,The Invasion
1892,Bourbon Restoration in France
1893,Jim Walsh
1894,Knowing
1895,Rush
1896,Hakeem's New Flame
1897,Grant Bramwell
1898,Masayoshi Nataniya
1899,Linden Ashby
1900,Wallace Dollase
1901,Alain Rakotondramanana
1902,Jab We Met
1903,Chris Penn
1904,Roy A. Roberts
1905,Lines
1906,Radoslav Školník
1907,Sam
1908,Bulgaria
1909,With
1910,Imbi Hoop
1911,The Best of Me
1912,Loa
1913,Vasili Penyasov
1914,Another
1915,Syria
1916,Raymond S. Burton
1917,Fuel
1918,Iron Man
1919,Young Adult
1920,Al-Fajr Arabsalim
1921,Lucy DeVito
1922,A.I. Artificial Intelligence
1923,London
1924,These Children
1925,Bed
1926,Kagemusha
1927,William Perry Hay
1928,David Harris Willson
1929,1941
1930,"St. Albert's Church, Riga"
1931,Awakening
1932,My Story
1933,Here
1934,Chaotic
1935,Ruby Rose
1936,By the Gods Beloved
1937,John Heriot's Wife
1938,Goodbye
1939,Adel Bousmal
1940,Avatar
1941,Get Back
1942,Abraham Lincoln
1943,Julius Erving
1944,Benjamin Marc Ramaroson
1945,James Alex Msekela
1946,Malaysia
1947,Rich Brightman
1948,Beyond
1949,Shahrzad Sepanlou
1950,Brian Eno
1951,Donald Trump
1952,Prince
1953,Strangers
1954,J. Da Silva
1955,State of Change
1956,Mira Burt-Wintonick
1957,Waltteri Immonen
1958,Kite
1959,Famke Janssen
1960,The Rev
1961,Pan
1962,Bolivia
1963,South Australia
1964,Patrick Mulvany
1965,Sorry
1966,Gerald's Game
1967,Giorgio Cagnotto
1968,Trance
1969,Bingo
1970,Croatia
1971,The Seven Revenges
1972,Spaced
1973,Shinji Hamazaki
1974,Dennis Havig
1975,Edward Gunasekara
1976,The Worst Years of Our Lives
1977,Legion
1978,Benedito Domingos Vito Coscia
1979,Friesland
1980,Frederick Converse Beach
1981,Into the Woods
1982,El Salvador
1983,Tales
1984,Empire of Japan
1985,Direkte Aktion
1986,Three Men and a Baby
1987,James Brown
1988,Colors
1989,Marina's Destiny
1990,Northern Ireland
1991,New South Wales
1992,Mobile Home
1993,De Laatste Dagen van een Eiland
1994,The Craft
1995,Pakistan
1996,Pieter Gerardus van Os
1997,The Daily Show Mondays with Jon Stewart
1998,Lost
1999,Nine Inch Nails
2000,Friends
2001,In Mexico
2002,Havoc
2003,Margarita Louis-Dreyfus
2004,Pierre-Yves Barré
2005,Scorpio
2006,Destiny
2007,Pink Floyd – The Wall
2008,The Way We Were
2009,Enough Said
2010,Collaboration West
2011,Simon Callery
2012,Paris
2013,Wisconsin
2014,James VI and I
2015,ALF
2016,Delhi
2017,King Lear
2018,Luka Glavaš
2019,The Arrival
2020,Elements
2021,Don
2022,Italian Style
2023,Albert Cox
2024,Richard Myers
2025,Science-Fantasy Quintette
2026,Hwang Byung-ju
2027,Up
2028,Fugees
2029,The Time Machine
2030,Rodger Stevens
2031,Millennial Rites
2032,French Guiana
2033,Solomon Islands
2034,Mikhail Petrusyov
2035,War
2036,Shooting Sean
2037,Sissignore
2038,Point of View
2039,Get Hard
2040,Country
2041,"Symphony, K. 19b"
2042,Witt
2043,Maxwell Griffin
2044,Hampton
2045,Turbo
2046,The Storm
2047,Legion
2048,The Aware
2049,Gui d'Amiens
2050,The Grapes of Wrath
2051,Warrior
2052,The Prestige
2053,Odysseus
2054,Tron
2055,Barack Obama
2056,Shagari Mohammed
2057,Survivor
2058,Gustavo Grondona
2059,Black
2060,Something
2061,Sacrifice
2062,Brothers
2063,Vancouver Whitecaps FC
2064,Metroid
2065,Listen to Me
2066,Vogue
2067,Gniazdo
2068,Martin Garrix
2069,2004 Legg Mason Tennis Classic
2070,Black
2071,I
2072,Let It Be
2073,The Wave
2074,The Pledge
2075,Jörg A. Eggers
2076,England
2077,City of God
2078,Love
2079,The Animal
2080,United Kingdom
2081,The Day
2082,10 Years
2083,John Keating
2084,Ayumi Hamasaki
2085,Hoppa högst
2086,Tokyo
2087,Let's Not
2088,Pierre Petit
2089,RED 2
2090,Election
2091,If I Ever
2092,A Matter of Time
2093,E. David Redwine
2094,Scott McCuaig
2095,Cher
2096,Argo
2097,Ronan Farrow
2098,In Your Hands
2099,Kim Sung-gan
2100,It
2101,Florian Reichstädter
2102,Francisco María Oreamuno Bonilla
2103,Dominica
2104,Guy
2105,Lucky
2106,Bobby
2107,Just Around the Corner
2108,Endre Bálint
2109,Anders Orvin
2110,Confessions
2111,chimera
2112,Kim Kardashian
2113,Midnight's Children
2114,Pilot
2115,Levan Gruzinsky
2116,Aliens
2117,Herman A. Barnett
2118,The Boss
2119,While There is Still Time
2120,Edward the Elder
2121,David I of Scotland
2122,Chicago Fire FC
2123,House
2124,54
2125,North Macedonia
2126,RED
2127,Pulse
2128,Saša Janić
2129,Ontario
2130,Dark Matter
2131,Alien
2132,The Lives of Others
2133,Open Water
2134,"Stephen, King of England"
2135,Court Martial
2136,Seventh-day Adventist Church
2137,From Now On
2138,Cagayan
2139,Tempting Danger
2140,"Anselm Marshal, 6th Earl of Pembroke"
2141,Capturing the Friedmans
2142,Halloween
2143,Mark Holzemer
2144,Vítor Valente
2145,Nepal
2146,Illinois
2147,Ian Rutherford
2148,Guadalupe Missionaries
2149,Nathaniel Boyden
2150,"Princess Mary, Princess Royal of the United Kingdom"
2151,The Mighty
2152,Taxi at Midnight
2153,Enough
2154,"Aguirre, the Wrath of God"
2155,Dominion of Pakistan
2156,Jacob
2157,Bhimrao Ramji Ambedkar
2158,Mary in Islam
2159,White Nights
2160,Maari
2161,Ivan Illich
2162,Ghost
2163,Chris Brown
2164,Ukraine
2165,Ham
2166,Frederick William IV of Prussia
2167,Vision
2168,Giacomo Guardi
2169,Punghina
2170,Viva la Vida or Death and All His Friends
2171,Super
2172,David Cobb
2173,Simón Bolívar
2174,Rome-Paris-Rome
2175,Freedom
2176,Shaft
2177,Catholic Church
2178,Inside
2179,The Counselor
2180,H. Hugh Bancroft
2181,Happy Together
2182,Khyber Pakhtunkhwa
2183,Discipline
2184,Hero
2185,The Fog
2186,Office Space
2187,David Coulthard
2188,Belize
2189,The Good Life
2190,Cho Keung-yeon
2191,Faster
2192,The Sea
2193,Ormai è fatta!
2194,Dimitri Pätzold
2195,Devon
2196,Jurassic Park
2197,Close to Home
2198,Removal
2199,Messiah
2200,Matthias the Apostle
2201,The Visitors
2202,Interview
2203,For a Living
2204,Wake Up
2205,The Beyond
2206,Bad Santa
2207,"Cosimo I de' Medici, Grand Duke of Tuscany"
2208,Layla Young
2209,Forever Young
2210,François Gayot
2211,Deadline
2212,Arjuna
2213,The Key
2214,Women Who Work
2215,Hot Fuzz
2216,Bosnia and Herzegovina
2217,The Invitation
2218,Blaise Pascal
2219,200
2220,Numbers
2221,All the Way Up
2222,Richard Harris
2223,The Return
